customer_id,age,income,credit_score,account_balance,num_products,has_credit_card,is_active_member,country,churn
1,56,125186,414,2239,4,0,1,Germany,0
2,69,54674,622,1710,1,1,1,Germany,0
3,46,55854,339,16384,1,0,0,Germany,0
4,32,66271,339,16038,1,0,1,Germany,0
5,60,93688,588,35846,3,0,1,Germany,1
6,25,58518,561,82983,2,0,1,Germany,1
7,38,131076,515,62821,3,0,0,Poland,0
8,56,30267,446,32991,4,0,0,Germany,1
9,36,110825,635,74057,1,1,1,Poland,1
10,40,21062,467,1971,2,1,0,Poland,0
11,28,136664,391,24139,4,1,1,Germany,0
12,28,70448,652,80445,4,0,1,Germany,1
13,41,115462,662,72067,4,1,0,Poland,0
14,53,26229,644,75257,3,0,1,Poland,1
15,57,76793,469,79742,1,0,1,Germany,0
16,41,134813,655,32711,4,0,0,Germany,0
17,20,67915,490,1530,1,0,1,Poland,0
18,39,24632,721,6116,3,1,1,Poland,0
19,19,124592,306,60794,4,0,1,Poland,1
20,41,23596,432,-4718,3,1,0,Ukraine,0
21,61,129779,330,74473,3,0,1,Poland,0
22,47,26168,834,-3102,1,1,0,Ukraine,1
23,55,128099,725,-865,4,1,1,Germany,0
24,19,27561,693,1629,3,1,1,Germany,0
25,38,93794,662,80120,4,1,1,Poland,1
26,50,102152,736,84087,1,1,1,Germany,1
27,29,145036,381,60031,3,1,0,Germany,0
28,39,144049,655,28380,1,0,0,Germany,0
29,61,46734,557,12071,4,1,1,Germany,0
30,42,26371,823,15074,4,0,1,Ukraine,0
31,66,138894,594,85724,1,1,1,Ukraine,0
32,44,46069,523,62843,2,0,1,Poland,0
33,59,99905,824,34901,3,1,1,Poland,0
34,45,32910,345,6205,4,1,1,Poland,0
35,33,93479,412,50661,4,0,1,Germany,0
36,32,97735,532,906,3,1,1,Germany,0
37,64,101264,316,-2409,1,1,0,Ukraine,1
38,68,43275,659,57987,1,1,0,Ukraine,1
39,61,92274,522,58370,1,0,0,Poland,0
40,69,101449,747,75685,2,1,1,Ukraine,0
41,20,120776,664,49400,2,0,1,Ukraine,0
42,54,80004,625,20150,4,1,1,Ukraine,0
43,68,82981,766,26852,1,1,0,Ukraine,0
44,24,104659,713,37870,3,0,1,Ukraine,0
45,38,74553,754,47756,4,1,0,Poland,0
46,26,68447,532,51481,3,1,1,Poland,1
47,56,54529,523,-3717,4,0,0,Ukraine,0
48,35,146394,711,28691,2,1,0,Poland,0
49,21,95703,634,-3875,4,0,0,Germany,1
50,42,96090,521,62065,2,0,1,Ukraine,0
51,31,37260,336,21170,4,0,0,Germany,0
52,67,132581,577,3438,1,1,1,Poland,0
53,26,23812,495,15095,3,0,1,Poland,0
54,43,48024,783,11154,1,0,1,Germany,1
55,19,78656,541,3004,4,1,1,Poland,0
56,37,136148,623,4752,4,0,1,Ukraine,0
57,45,47285,491,50426,4,1,0,Germany,0
58,64,112436,316,21819,2,1,1,Ukraine,0
59,24,136421,823,97168,3,1,1,Germany,1
60,61,21605,700,87051,3,1,1,Poland,1
61,25,91158,321,19217,4,0,1,Germany,0
62,64,92303,773,83708,4,0,1,Germany,0
63,52,47139,419,27994,2,0,0,Ukraine,0
64,31,97149,509,10036,1,0,0,Poland,1
65,34,76138,605,72275,1,0,1,Ukraine,0
66,53,138205,569,92756,3,1,0,Poland,0
67,67,96125,584,44416,2,0,0,Ukraine,0
68,57,33918,526,4587,4,0,1,Germany,0
69,21,105655,680,90665,3,0,0,Ukraine,0
70,19,47446,759,-4355,2,1,1,Poland,0
71,23,144040,306,25930,1,1,0,Poland,0
72,59,33046,328,76835,2,0,0,Germany,0
73,21,149922,332,25090,1,1,0,Poland,0
74,46,44818,378,82489,2,0,1,Ukraine,1
75,35,120894,758,47142,3,0,0,Germany,0
76,43,135751,837,21475,1,1,0,Poland,0
77,61,24324,781,13888,3,1,1,Poland,0
78,51,96323,729,38732,3,0,1,Ukraine,0
79,27,29111,584,76623,1,0,0,Ukraine,0
80,53,58110,815,41305,1,1,1,Germany,1
81,31,36389,398,41037,4,0,0,Poland,0
82,48,142177,696,4346,4,1,0,Ukraine,1
83,65,61427,788,-4413,4,0,1,Germany,0
84,32,99579,338,7763,3,1,1,Poland,0
85,25,48746,570,54165,3,0,1,Poland,0
86,31,142883,456,64615,4,0,0,Germany,0
87,40,107886,374,31116,3,1,1,Germany,1
88,57,127141,429,80751,3,0,0,Ukraine,1
89,38,20117,383,86353,1,0,1,Poland,1
90,33,145808,321,85301,1,1,0,Poland,1
91,62,132221,758,90648,3,0,1,Poland,1
92,35,104471,838,20556,4,0,0,Germany,0
93,64,132613,681,54042,2,0,1,Ukraine,0
94,41,33234,739,13099,4,1,0,Poland,0
95,43,149597,320,40096,2,1,1,Germany,0
96,42,123864,602,66986,4,1,1,Poland,1
97,62,73441,383,8230,1,0,0,Ukraine,0
98,58,20846,752,24009,3,0,1,Poland,0
99,46,30954,686,65969,3,0,0,Ukraine,0
100,32,99239,806,28866,1,0,0,Ukraine,0
101,62,133689,556,79246,2,1,1,Poland,0
102,18,66514,826,71975,2,0,0,Poland,0
103,42,108236,461,36855,2,0,1,Ukraine,0
104,24,117579,462,76557,1,0,1,Germany,0
105,26,148644,823,1416,2,1,0,Ukraine,0
106,41,26469,570,67516,1,0,1,Poland,0
107,18,50105,791,50915,4,0,0,Poland,0
108,61,62101,507,13058,4,0,0,Germany,0
109,25,84323,838,71637,1,0,1,Ukraine,0
110,41,111922,359,35718,3,0,1,Ukraine,0
111,28,78067,729,27602,4,1,0,Ukraine,0
